frame 	 RMSD
CB 	 -0.18000000715255737
HB1 	 0.09000000357627869
HB2 	 0.09000000357627869
CG 	 0.0
CD1 	 -0.11500000208616257
HD1 	 0.11500000208616257
CE1 	 -0.11500000208616257
HE1 	 0.11500000208616257
CZ 	 0.10999999940395355
OH 	 -0.5400000214576721
HH	  0.43
CD2 	 -0.11500000208616257
HD2 	 0.11500000208616257
CE2 	 -0.11500000208616257
HE2 	 0.11500000208616257
